,BO,,,GA,,,BO_wo_rlx,,,BO_wo_clst,,,BO_wo_clst+wo_rlx,,,BO_wo_clst+wo_cmp,,,BO_wo_cl+wo_rlx+wo_cmp,,,BO_wo_comparison,,
no,avg,min,max,avg,min,max,avg,min,max,avg,min,max,avg,min,max,avg,min,max,avg,min,max,avg,min,max
85,11.48162,11.3738,11.7667,11.41092,11.3742,11.4377,18.7195,18.7195,18.7195,11.44916,11.4004,11.5086,18.70182,18.0581,18.8968,11.52894,11.3997,11.8795,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
86,11.48162,11.3738,11.7667,11.41092,11.3742,11.4377,18.7195,18.7195,18.7195,11.44916,11.4004,11.5086,18.70182,18.0581,18.8968,11.52894,11.3997,11.8795,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
87,11.48162,11.3738,11.7667,11.40858,11.3742,11.4377,18.7195,18.7195,18.7195,11.44916,11.4004,11.5086,18.70182,18.0581,18.8968,11.52894,11.3997,11.8795,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
88,11.48162,11.3738,11.7667,11.40858,11.3742,11.4377,18.7195,18.7195,18.7195,11.43706,11.4004,11.5086,18.70182,18.0581,18.8968,11.52894,11.3997,11.8795,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
89,11.48162,11.3738,11.7667,11.40858,11.3742,11.4377,18.7195,18.7195,18.7195,11.43706,11.4004,11.5086,18.70182,18.0581,18.8968,11.52894,11.3997,11.8795,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
90,11.48162,11.3738,11.7667,11.40858,11.3742,11.4377,18.7195,18.7195,18.7195,11.43706,11.4004,11.5086,18.70182,18.0581,18.8968,11.52894,11.3997,11.8795,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
91,11.48162,11.3738,11.7667,11.3988,11.3682,11.4377,18.7195,18.7195,18.7195,11.43678,11.4004,11.5086,18.70182,18.0581,18.8968,11.52894,11.3997,11.8795,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
92,11.48162,11.3738,11.7667,11.3988,11.3682,11.4377,18.7195,18.7195,18.7195,11.43386,11.4004,11.5086,18.70182,18.0581,18.8968,11.52894,11.3997,11.8795,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
93,11.48162,11.3738,11.7667,11.3988,11.3682,11.4377,18.7195,18.7195,18.7195,11.43386,11.4004,11.5086,18.70182,18.0581,18.8968,11.52894,11.3997,11.8795,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
94,11.48162,11.3738,11.7667,11.3988,11.3682,11.4377,18.7195,18.7195,18.7195,11.43386,11.4004,11.5086,18.70182,18.0581,18.8968,11.52894,11.3997,11.8795,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
95,11.48162,11.3738,11.7667,11.3988,11.3682,11.4377,18.7195,18.7195,18.7195,11.43386,11.4004,11.5086,18.70182,18.0581,18.8968,11.51594,11.3997,11.8145,18.82218,18.6599,18.8968,11.56214,11.4151,11.7857
