,h,k,l,del_CN,del_tension,del_radius,PEN_host,PEN_impurity,IE_host,IE_impurity,EA_host,EA_impurity,Esegr
198,3,2,2,5,-0.605,0.14,2.2,1.93,8.3369,7.5762,0.56214,1.30447,-0.41
47,6,4,3,6,0.35,0.38,1.9,1.54,7.726380000000001,6.8281,1.2357799999999999,0.07554,1.0
196,6,4,3,0,0.5,-0.06,2.2,2.28,8.3369,7.4589,0.56214,1.14289,-0.01
70,3,2,2,3,1.1,0.28,1.9,2.36,7.726380000000001,7.864,1.2357799999999999,0.81626,0.71
12,6,4,3,2,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,-0.31
25,6,4,3,3,0.7,0.14,1.9,2.28,7.726380000000001,7.4589,1.2357799999999999,1.14289,0.2
0,6,4,3,6,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,-0.7
245,6,4,3,5,-0.95,-0.17,2.2,1.9,8.967,7.726380000000001,1.56436,1.2357799999999999,-0.79
238,6,4,3,2,-0.6,0.21,2.2,1.54,8.967,6.8281,1.56436,0.07554,0.13
180,3,2,2,0,0.45,-0.05,2.2,1.63,8.3369,6.7462,0.56214,0.52766,-0.03
210,3,2,2,0,-0.605,0.14,2.2,1.93,8.3369,7.5762,0.56214,1.30447,-0.02
93,3,2,2,5,-0.05,0.01,2.28,1.63,7.4589,6.7462,1.14289,0.52766,0.63
268,6,4,3,2,-0.25,-0.03,2.2,2.28,8.967,7.4589,1.56436,1.14289,0.01
14,3,2,2,0,-0.405,0.34,1.9,1.93,7.726380000000001,7.5762,1.2357799999999999,1.30447,0.06
172,6,4,3,4,0.45,-0.05,2.2,1.63,8.3369,6.7462,0.56214,0.52766,0.58
233,1,1,1,3,-0.6,0.21,2.2,1.54,8.967,6.8281,1.56436,0.07554,0.12
148,6,4,3,2,0.7,0.06,2.28,1.9,7.4589,7.8335,1.14289,0.060396000000000005,0.39
216,1,0,0,4,0.3,0.03,2.2,2.28,8.3369,8.9587,0.56214,2.1251,0.19
