h,k,l,del_CN,tension_host,tension_impurity,del_tension,radius_host,radius_impurity,del_radius,PEN_host,PEN_impurity,del_PEN,IE_host,IE_impurity,del_IE,EA_host,EA_impurity,del_EA,Esegr
3,2,2,2,1.5,0.895,-0.605,2.87,3.01,0.14,2.2,1.93,-0.27,8.3369,7.5762,-0.7607,0.56214,1.30447,0.74233,-0.17
3,2,2,0,1.5,0.895,-0.605,2.87,3.01,0.14,2.2,1.93,-0.27,8.3369,7.5762,-0.7607,0.56214,1.30447,0.74233,-0.02
3,2,2,5,1.5,1.8,0.3,2.87,2.9,0.03,2.2,2.28,0.08,8.3369,8.9587,0.6218,0.56214,2.1251,1.56296,0.22
1,1,0,5,1.5,1.8,0.3,2.87,2.9,0.03,2.2,2.28,0.08,8.3369,8.9587,0.6218,0.56214,2.1251,1.56296,0.27
3,2,2,3,1.5,1.8,0.3,2.87,2.9,0.03,2.2,2.28,0.08,8.3369,8.9587,0.6218,0.56214,2.1251,1.56296,0.1
3,2,2,3,1.5,1.8,0.3,2.87,2.9,0.03,2.2,2.28,0.08,8.3369,8.9587,0.6218,0.56214,2.1251,1.56296,0.07
3,2,2,2,1.5,1.8,0.3,2.87,2.9,0.03,2.2,2.28,0.08,8.3369,8.9587,0.6218,0.56214,2.1251,1.56296,0.05
3,2,2,0,1.5,1.8,0.3,2.87,2.9,0.03,2.2,2.28,0.08,8.3369,8.9587,0.6218,0.56214,2.1251,1.56296,0.04
3,2,2,5,2.25,1.65,-0.6,2.84,3.05,0.21,2.2,1.54,-0.66,8.967,6.8281,-2.1389,1.56436,0.07554,-1.48882,0.16
1,1,0,5,2.25,1.65,-0.6,2.84,3.05,0.21,2.2,1.54,-0.66,8.967,6.8281,-2.1389,1.56436,0.07554,-1.48882,-0.35
3,2,2,3,2.25,1.65,-0.6,2.84,3.05,0.21,2.2,1.54,-0.66,8.967,6.8281,-2.1389,1.56436,0.07554,-1.48882,0
3,2,2,3,2.25,1.65,-0.6,2.84,3.05,0.21,2.2,1.54,-0.66,8.967,6.8281,-2.1389,1.56436,0.07554,-1.48882,0.21
3,2,2,2,2.25,1.65,-0.6,2.84,3.05,0.21,2.2,1.54,-0.66,8.967,6.8281,-2.1389,1.56436,0.07554,-1.48882,-0.04
3,2,2,0,2.25,1.65,-0.6,2.84,3.05,0.21,2.2,1.54,-0.66,8.967,6.8281,-2.1389,1.56436,0.07554,-1.48882,-0.49
3,2,2,5,2.25,1.3,-0.95,2.84,2.67,-0.17,2.2,1.9,-0.3,8.967,7.72638,-1.24062,1.56436,1.23578,-0.32858,-0.88
